number,post date,ex/eff date, title
56071,Feb-19-2025,Feb-20-2025,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
56063,Feb-18-2025,Feb-19-2025,"ORIC Pharmaceuticals, Inc. - Flex Position Consolidation Option Symbol: 1ORIC"
56060,Feb-14-2025,Feb-18-2025,"Multiple Flex Position Consolidations"
56052,Feb-13-2025,Feb-14-2025,"Multiple Flex Position Consolidations"
56046,Feb-12-2025,Feb-13-2025,"S&P 500 MINI INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4XSP"
56045,Feb-12-2025,Feb-18-2025,"Tempur Sealy International, Inc. - Name/Symbol Change Option Symbol: TPX New Symbol: SGI"
56032,Feb-11-2025,Feb-12-2025,"Invesco QQQ Trust - Flex Position Consolidation Option Symbol: 1QQQ"
56016,Feb-06-2025,Feb-07-2025,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
55995,Feb-03-2025,Feb-04-2025,"Multiple Flex Position Consolidations"
55977,Jan-30-2025,Jan-31-2025,"Celsius Holdings, Inc. - Flex Position Consolidation Option Symbol: 1CELH"
55966,Jan-29-2025,Jan-30-2025,"Multiple Flex Position Consolidations"
55957,Jan-27-2025,Feb-03-2025,"NextEra Energy Partners, LP - Name/Symbol Change Option Symbol: NEP New Symbol: XIFR"
55948,Jan-24-2025,Jan-27-2025,"Lithium Americas (Argentina) Corporation - Name/Symbol/CUSIP Change Option Symbol: LAAC New Symbol: LAR"
55930,Jan-21-2025,Jan-22-2025,"Multiple Flex Position Consolidations"
55909,Jan-16-2025,Jan-17-2025,"Multiple Flex Position Consolidations"
55903,Jan-15-2025,,"Acceleration of Expirations/January 2025 Expiration"
55902,Jan-15-2025,Jan-16-2025,"Multiple Flex Position Consolidations"
55896,Jan-14-2025,Jan-15-2025,"CONSOL Energy Inc. - Name/Symbol/CUSIP Change Option Symbol: CEIX New Symbol: CNR"
55895,Jan-14-2025,Jan-15-2025,"Multiple Flex Position Consolidations"
55894,Jan-14-2025,Jan-14-2025,"Arch Resources, Inc. - Contract Adjustment Option Symbol: 01/14/2025 - ARCH remains ARCH 01/15/2025 - ARCH becomes CNR1"
55890,Jan-13-2025,Jan-14-2025,"Multiple Flex Position Consolidations"
55875,Jan-08-2025,Jan-09-2025,"TPI Composites, Inc. - Flex Position Consolidation Option Symbol: 1TPIC"
55872,Jan-07-2025,,"Arch Resources, Inc. - Anticipated Adjustment Option Symbol: ARCH New Symbol: CEIX1 * * * Update * * *"
55869,Jan-07-2025,Jan-08-2025,"Multiple Flex Position Consolidations"
55865,Jan-06-2025,Jan-07-2025,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
55851,Jan-03-2025,Jan-06-2025,"NASDAQ 100 AM/EURO - Flex Position Consolidation Option Symbol: 2NDX"
55841,Jan-02-2025,Jan-03-2025,"John Bean Technologies Corporation - Name/Symbol Change Option Symbol: JBT New Symbol: JBTM"
55836,Dec-31-2024,Jan-02-2025,"Viad Corporation - Name/Symbol Change Option Symbol: VVI New Symbol: PRSU"
55833,Dec-31-2024,Jan-02-2025,"BrightSphere Investment Group Inc. - Name/Symbol Change Option Symbol: BSIG New Symbol: AAMI"
55832,Dec-31-2024,Jan-02-2025,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
55825,Dec-30-2024,Dec-31-2024,"iShares MSCI Brazil ETF - Flex Position Consolidations Option Symbol: 1EWZ"
55808,Dec-27-2024,Dec-30-2024,"MSCI EAFE Index - Flex Position Consolidation Option Symbol: 4MXEA"
55802,Dec-26-2024,Dec-27-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
55799,Dec-24-2024,Dec-26-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
55781,Dec-23-2024,Dec-24-2024,"Multiple Flex Position Consolidations"
55759,Dec-20-2024,Dec-23-2024,"RUSSELL 2000 INDEX AM/EURO - Flex Position Consolidations Option Symbol: 2RUT"
55741,Dec-19-2024,Dec-20-2024,"Multiple Flex Position Consolidations"
55734,Dec-18-2024,,"Acceleration of Expirations/December 2024 Expiration"
55732,Dec-18-2024,Dec-19-2024,"NASDAQ 100 AM/EURO - Flex Position Consolidations Option Symbol: 2NDX"
55717,Dec-16-2024,Dec-17-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
55714,Dec-13-2024,Dec-16-2024,"Adjusted Pieris Pharmaceuticals, Inc. - Name/Symbol/CUSIP Change Adjusted Option Symbol: PIRS1 New Option Symbol: PVLA1"
55705,Dec-12-2024,Dec-13-2024,"S&P 500 MINI INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4XSP"
55700,Dec-12-2024,Dec-13-2024,"FCF US Quality ETF - Name/Symbol Change Option Symbol: TTAC New Symbol: ABFL"
55686,Dec-11-2024,Dec-12-2024,"Bowlero Corporation - Name/Symbol Change Option Symbol: BOWL New Symbol: LUCK"
55683,Dec-11-2024,Dec-12-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
55674,Dec-10-2024,Dec-11-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
55665,Dec-09-2024,Dec-19-2024,"Newpark Resources, Inc. - Name/Symbol Change Option Symbol: NR New Symbol: NPKI"
55664,Dec-09-2024,Dec-10-2024,"The Financial Select Sector SPDR Fund - Flex Position Consolidation Option Symbol: 1XLF"
55656,Dec-06-2024,Dec-09-2024,"Multiple Flex Position Consolidations"
55645,Dec-04-2024,,"Arch Resources, Inc. - Anticipated Adjustment Option Symbol: ARCH New Symbol: CNR1"
55643,Dec-04-2024,Dec-05-2024,"iShares MSCI South Korea ETF - Flex Position Consolidation Option Symbol: 1EWY"
55623,Dec-02-2024,Dec-03-2024,"Multiple Flex Position Consolidations"
55616,Nov-29-2024,Dec-02-2024,"NASDAQ 100 AM/EURO - Flex Position Consolidations Option Symbol: 2NDX"
55603,Nov-25-2024,Nov-26-2024,"S&P 500 INDEX AM/EURO - Flex Position Consolidations Option Symbol: 2SPX"
55600,Nov-22-2024,,"Adjusted Magnera Corporation - Cash In Lieu Settlement Adjusted Option Symbol: MAGN1"
55588,Nov-21-2024,Dec-03-2024,"Great Ajax Corporation - Name/Symbol Change Option Symbol: AJX New Symbol: RPT"
55573,Nov-19-2024,Nov-26-2024,"China Green Agriculture, Inc. - Name/Symbol Change Option Symbol: CGA New Symbol: ENFY"
55565,Nov-18-2024,Nov-19-2024,"Multiple Flex Position Consolidations"
55537,Nov-14-2024,Nov-15-2024,"Multiple Flex Position Consolidations"
55534,Nov-13-2024,,"Acceleration of Expirations/November 2024 Expiration"
55516,Nov-08-2024,Nov-11-2024,"Primo Water Corporation - Name/Symbol/CUSIP Change Option Symbol: PRMW New Symbol: PRMB"
55506,Nov-07-2024,Nov-08-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
55497,Nov-05-2024,Nov-06-2024,"Compass, Inc. - Flex Position Consolidation Option Symbol: 1COMP"
55495,Nov-04-2024,Nov-05-2024,"Glatfelter Corporation - Name/Symbol Change Adjusted Option Symbol: GLT1 New Adjusted Symbol: MAGN1"
55490,Nov-04-2024,Nov-05-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
55478,Nov-01-2024,Nov-04-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
55461,Oct-31-2024,Nov-01-2024,"Multiple Flex Position Consolidations"
