Old Ticker,New Ticker,Effective Date
ALAZD,AREN,8/25/2015
ALAZ,AREN,8/25/2015
UBLI,UBLIE,8/24/2015
RMLSE,RMLS,8/24/2015
JSHY,JSHYE,8/24/2015
HUTN,HUTNE,8/24/2015
GYTI,GYTIE,8/24/2015
GCA,EVRI,8/24/2015
DLDG,DLDGE,8/24/2015
CRDW,CRDWE,8/24/2015
BDPT,BDPTE,8/24/2015
AREN,ARENE,8/24/2015
ARBJ,ARBJE,8/24/2015
ALAZD,ARENE,8/24/2015
ALAZ,ARENE,8/24/2015
WHHTE,WHHT,8/21/2015
TRGT,CBIO,8/21/2015
WHHT,WHHTE,8/20/2015
PTPF,PTPFE,8/20/2015
EHOS,EHOSE,8/20/2015
CRMVD,CRMVE,8/20/2015
CRMV,CRMVE,8/20/2015
RCHAE,RCHA,8/18/2015
EZRT,EZRTE,8/18/2015
CCP.V,CCP,8/18/2015
ZCVVV,Z,8/17/2015
ZBB,ESNC,8/17/2015
Z,ZG,8/17/2015
OCLLE,OCLL,8/17/2015
SKSKD,SKSK,8/14/2015
CAP,CAI,8/14/2015
ATAOE,ATAO,8/14/2015
ATAOD,ATAO,8/14/2015
LIOCE,LIOC,8/12/2015
SYYF,SYYFD,8/11/2015
SITOD,SITO,8/10/2015
NOKI,SEK,NOKIA SEK 8/10/2015
NOK1V,NOKIA,8/10/2015
AHDT,CSAX,8/7/2015
OCLL,OCLLE,8/4/2015
LITEV,LITE,8/4/2015
LACO,GDEN,8/4/2015
ENCRD,ENCR,8/4/2015
DLPME,DLPM,8/4/2015
TKMR,ABUS,8/3/2015
ETF,ABE,8/3/2015
BNED.V,BNED,8/3/2015
BLVDW,AGFSW,8/3/2015
BLVD,AGFS,8/3/2015
STFKE,STFK,7/31/2015
CXBL,BOFC,7/31/2015
ARCPP,VER$F,7/31/2015
ARCP,VER,7/31/2015
SITO,SITOD,7/30/2015
FCUVE,FCUV,7/30/2015
CHUME,CHUM,7/30/2015
SCOK,CETC,7/28/2015
BMXCD,BMXC,7/28/2015
REACD,REAC,7/27/2015
CRMV,CRMVD,7/27/2015
RMLS,RMLSE,7/23/2015
CHUM,CHUME,7/23/2015
SPPRP,CDORP,7/21/2015
SPPRO,CDORO,7/21/2015
SPPR,CDOR,7/21/2015
PYPLV,PYPL,7/20/2015
PUBCD,PUBC,7/20/2015
MRXC,VRAY,7/20/2015
GSKNF,GNK,7/20/2015
STFK,STFKE,7/17/2015
SKSK,SKSKD,7/17/2015
RCHA,RCHAE,7/17/2015
LIOC,LIOCE,7/17/2015
FCUV,FCUVE,7/17/2015
ATAOD,ATAOE,7/17/2015
ATAO,ATAOE,7/17/2015
ARENE,AREN,7/17/2015
ALAZD,AREN,7/17/2015
ALAZ,AREN,7/17/2015
ENZBD,ENZB,7/16/2015
TORM,TORM,A 7/15/2015
MLSOD,HSHS,7/15/2015
MLSO,HSHS,7/15/2015
USPO,ONFA,7/14/2015
ONFAD,ONFA,7/14/2015
MLCGD,MLCG,7/13/2015
ECRYE,ECRY,7/10/2015
LGOO,TRHF,7/9/2015
CLACW,LINDW,7/9/2015
CLAC,LIND,7/9/2015
AFFWD,AHIT,7/9/2015
AFFW,AHIT,7/9/2015
ENCR,ENCRD,7/8/2015
ORIF,ORI,7/6/2015
ECRY,ECRYE,7/6/2015
DLPM,DLPME,7/6/2015
AREN,ARENE,7/6/2015
ALAZD,ARENE,7/6/2015
ALAZ,ARENE,7/6/2015
WRK.V,WRK,7/2/2015
SPNEV,SPNE,7/2/2015
RUK,RELX,7/2/2015
LILKV,LILAK,7/2/2015
LILAV,LILA,7/2/2015
ENL,RENX,7/2/2015
EBC1V,BITTI,7/2/2015
CPGX.V,CPGX,7/2/2015
AYNTE,AYNT,7/2/2015
TCNTE,TCNT,7/1/2015
HZN.V,HZN,7/1/2015
ENR.V,ENR,7/1/2015
ENR,EPC,7/1/2015
CHXF,CXSE,7/1/2015
CC.V,CC,7/1/2015
CBIN,YCB,7/1/2015
CABO.V,CABO,7/1/2015
BXLT.V,BXLT,7/1/2015
BWC,BWXT,7/1/2015
BW.V,BW,7/1/2015
BLD.V,BLD,7/1/2015
BMXC,BMXCD,6/30/2015
ZMH,ZBH,6/29/2015
GCI.V,GCI,6/29/2015
GCI,TGNA,6/29/2015
SUTR,TOR,6/26/2015
CTEID,CETX,6/25/2015
CTEI,CETX,6/25/2015
PMCME,PMCM,6/24/2015
PMCMD,PMCM,6/24/2015
OSCYE,OSCY,6/24/2015
FFLOE,FFLO,6/24/2015
CHAAE,CHAA,6/24/2015
NVABV,NORVE,6/23/2015
PTBIW,ABEOW,6/22/2015
PTBI,ABEO,6/22/2015
ITDPE,ITDP,6/22/2015
AFCTE,AFCT,6/22/2015
ORCTE,ORCT,6/19/2015
AYNT,AYNTE,6/19/2015
TCNT,TCNTE,6/18/2015
LILAK,LILKV,6/18/2015
ENZB,ENZBD,6/18/2015
CLADD,CLAD,6/18/2015
REAC,REACD,6/17/2015
PUBC,PUBCD,6/17/2015
POCO,PUBCD,6/17/2015
SLTNE,SLTN,6/16/2015
RTGN,PULM,6/16/2015
MTTAD,SLTN,6/16/2015
MTTA,SLTN,6/16/2015
CYRXD,CYRX,6/16/2015
VNIL,SDB,VNV SDB 6/15/2015
USPO,ONFAD,6/15/2015
SRG.V,SRG.R,6/15/2015
ONFA,ONFAD,6/15/2015
MLSO,MLSOD,6/15/2015
ACT,AGN,6/15/2015
OP,PREF,B OP PREF 6/12/2015
INXL,AVEN,6/12/2015
AFFW,AFFWD,6/10/2015
MCPIE,MCPI,6/9/2015
STAR,STAR,B 6/8/2015
NBS,CLBS,6/8/2015
GAHCE,GAHC,6/4/2015
TLN.V,TLN,6/2/2015
NES1V,NESTE,6/2/2015
FSRV,CIGI,6/2/2015
BLO,NRC,6/2/2015
USTR,ESND,6/1/2015
SCH,SCHA,6/1/2015
NHTB,LSBG,6/1/2015
CISAW,DELTW,6/1/2015
FISH,AZUR,5/29/2015
BWS,CAL,5/29/2015
UBIQE,UBIQ,5/28/2015
IMCLE,IMCL,5/28/2015
ALAZD,AREN,5/27/2015
ALAZ,AREN,5/27/2015
SLTN,SLTNE,5/26/2015
SLNRE,SLNR,5/26/2015
PXSC,EQWS,5/26/2015
PXMC,EQWM,5/26/2015
PXLC,EQWL,5/26/2015
PMCMD,PMCME,5/26/2015
PMCM,PMCME,5/26/2015
OSCY,OSCYE,5/26/2015
NYCC,CNTR,5/26/2015
MTTAD,SLTNE,5/26/2015
MTTA,SLTNE,5/26/2015
MCPI,MCPIE,5/26/2015
GAHC,GAHCE,5/26/2015
FFLO,FFLOE,5/26/2015
CHAA,CHAAE,5/26/2015
CATQE,CATQ,5/22/2015
UBIQ,UBIQE,5/21/2015
ITDP,ITDPE,5/21/2015
IMCL,IMCLE,5/21/2015
CATQ,CATQE,5/21/2015
AFCT,AFCTE,5/21/2015
SGBHF,SGBH,5/20/2015
SGBHE,SGBH,5/20/2015
ORCT,ORCTE,5/20/2015
ONLIE,ONLI,5/20/2015
MTCPE,MTCP,5/20/2015
ITUPE,ITUP,5/20/2015
IDOIE,IDOI,5/20/2015
GEIGE,GEIG,5/20/2015
GEIGD,GEIG,5/20/2015
CLAD,CLADD,5/20/2015
BBLSE,BBLS,5/20/2015
APPZE,APPZ,5/20/2015
APPZD,APPZ,5/20/2015
ACSXE,ACSX,5/20/2015
STRS,PAPI,5/19/2015
CYRX,CYRXD,5/19/2015
APPGE,APPG,5/19/2015
MCPIE,MCPI,5/18/2015
CNC1V,VALOE,5/15/2015
XOVR,CJNK,5/12/2015
SMAKD,SMAK,5/12/2015
MDITE,MDIT,5/12/2015
MDITD,MDIT,5/12/2015
DCAR,DCAR,B 5/12/2015
CYOE,MDIT,5/12/2015
CTEID,CTEI,5/12/2015
CDNLE,CDNL,5/12/2015
SSLT,VEDL,5/11/2015
VINO,NFAB,5/8/2015
IFANE,IFAN,5/8/2015
SSK1S,INVEST,5/7/2015
DEFL,DEFL,B 5/7/2015
TELIO,NGT,5/6/2015
NEMDE,NEMD,5/6/2015
IBXME,IBXM,5/6/2015
EXSLD,EXSL,5/6/2015
CTBM,NEMD,5/6/2015
ANECE,ANEC,5/6/2015
SIF,B,SIF 5/5/2015
RGDO,TBRA,5/5/2015
FCZAP,CIVBP,5/4/2015
FCZA,CIVB,5/4/2015
CCAZ,MGGI,5/4/2015
DNLX,AKTS,5/1/2015
CPAIE,CPAI,5/1/2015
CZMT,CBWA,4/30/2015
AREN,ALAZD,4/30/2015
ALAZ,ALAZD,4/30/2015
GLSOD,GLSO,4/29/2015
ALAZ,AREN,4/29/2015
LEVYW,TACOW,4/28/2015
LEVYU,TACOU,4/28/2015
LEVY,TACO,4/28/2015
CNDO,FBIO,4/28/2015
WEDGE,WEDG,4/27/2015
OVRIE,WEDG,4/27/2015
OVRI,WEDG,4/27/2015
HJOEE,HJOE,4/27/2015
GY,AJRD,4/27/2015
DRNKE,DRNK,4/27/2015
CSALV,CSAL,4/27/2015
ROIIE,ROII,4/24/2015
RABT,B,VSSAB B 4/24/2015
BRTSD,MYDX,4/24/2015
