old_ticker,new_ticker,ex/eff_date,post_date,title,Classification
CPSI,TBRG,Mar-04-2024,Mar-01-2024,"Computer Programs and Systems, Inc. - Name/Symbol Change Option Symbol: CPSI New Symbol: TBRG",Pure
TMST,MTUS,Feb-27-2024,Feb-26-2024,TimkenSteel Corporation - Name/Symbol Change Option Symbol: TMST New Symbol: MTUS,Pure
AMEH,ASTH,Feb-26-2024,Feb-23-2024,"Apollo Medical Holdings, Inc. - Name/Symbol Change Option Symbol: AMEH New Symbol: ASTH",Pure
SEAS,PRKS,Feb-13-2024,Feb-12-2024,"SeaWorld Entertainment, Inc. - Name/Symbol Change Option Symbol: SEAS New Symbol: PRKS",Pure
NHWK,SCPX,Feb-06-2024,Feb-05-2024,"NightHawk Biosciences, Inc. - Name/Symbol Change Option Symbol: NHWK New Symbol: SCPX",Pure
CDAY,DAY,Feb-01-2024,Jan-30-2024,Ceridian HCM Holding Inc. - Name/Symbol Change Option Symbol: CDAY New Symbol: DAY,Pure
TRMR,NEXN,Jan-10-2024,Jan-09-2024,Tremor International Ltd. - Name/Symbol Change Option Symbol: TRMR New Symbol: NEXN,Pure
IGN,IDGT,Dec-18-2023,Dec-12-2023,iShares North American Tech-Multimedia Networking ETF - Name/Symbol Change Option Symbol: IGN New Symbol: IDGT ***Update***,Pure
MOXC,ABTS,Nov-17-2023,Nov-16-2023,Moxian (BVI) Inc - Name/Symbol Change Option Symbol: MOXC New Symbol: ABTS,Pure
SELB,RNAC,Nov-14-2023,Nov-13-2023,"Selecta Biosciences, Inc. - Name/Symbol Change Option Symbol: SELB New Symbol: RNAC",Pure
BIGT,MAGS,Nov-09-2023,Nov-08-2023,Listed Funds Trust Roundhill BIG Tech ETF - Name/Symbol Change Option Symbol: BIGT New Symbol: MAGS,Pure
OSTK,BYON,Nov-06-2023,Nov-03-2023,"Overstock.com, Inc. - Name/Symbol Change Option Symbol: OSTK New Symbol: BYON",Pure
PCYG,TRAK,Nov-02-2023,Nov-01-2023,"Park City Group, Inc. - Name/Symbol Change Option Symbol: PCYG New Symbol: TRAK",Pure
NLS,BFX,Nov-01-2023,Oct-25-2023,"Nautilus, Inc. - Name/Symbol Change Option Symbol: NLS New Symbol: BFX",Pure
AMOT,ALNT,Aug-23-2023,Aug-22-2023,Allied Motion Technologies Inc. - Name/Symbol Change Option Symbol: AMOT New Symbol: ALNT,Pure
UIHC,ACIC,Aug-15-2023,Aug-14-2023,United Insurance Holdings Corp. - Name/Symbol Change Option Symbol: UIHC New Symbol: ACIC,Pure
ENOB,RENB,Aug-07-2023,Aug-04-2023,"Enochian Biosciences, Inc. - Name/Symbol Change Option Symbol: ENOB New Symbol: RENB",Pure
PBS,GGME,Aug-28-2023,Jul-25-2023,Invesco Dynamic Media ETF - Name/Symbol Change Option Symbol: PBS New Symbol: GGME,Pure
PSJ,IGPT,Aug-28-2023,Jul-25-2023,Invesco Dynamic Software ETF - Name/Symbol Change Option Symbol: PSJ New Symbol: IGPT,Pure
PXQ,KNCT,Aug-28-2023,Jul-25-2023,Invesco Dynamic Networking ETF - Name/Symbol Change Option Symbol: PXQ New Symbol: KNCT,Pure
EWMC,GRPM,Aug-28-2023,Jul-25-2023,Invesco S&P MidCap 400 Equal Weight ETF - Name/Symbol Change Option Symbol: EWMC New Symbol: GRPM,Pure
ORCC,OBDC,Jul-06-2023,Jul-05-2023,Owl Rock Capital Corporation - Name/Symbol Change Option Symbol: ORCC New Symbol: OBDC,Pure
ERYP,PHXM,Jun-29-2023,Jun-28-2023,ERYTECH Pharma S.A. - Name/Symbol Change Option Symbol: ERYP New Symbol: PHXM,Pure
RE,EG,Jul-10-2023,Jun-23-2023,"Everest Re Group, Ltd. - Name/Symbol Change Option Symbol: RE New Symbol: EG",Pure
HSC,NVRI,Jun-20-2023,Jun-16-2023,Harsco Corporation - Name/Symbol Change Option Symbol: HSC New Symbol: NVRI,Pure
INT,WKC,Jun-16-2023,Jun-15-2023,World Fuel Services Corporation - Name/Symbol Change Option Symbol: INT New Symbol: WKC,Pure
PKI,RVTY,May-16-2023,May-15-2023,"PerkinElmer, Inc. - Name/Symbol Change Option Symbol: PKI New Symbol: RVTY",Pure
BLI,CELL,Mar-22-2023,Mar-21-2023,"Berkeley Lights, Inc. - Name/Symbol Change Option Symbol: BLI New Symbol: CELL",Pure
